"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AUS088-Set7aB11_S23.final.scaffolds.fasta.nohead.fasta","AUS089-Set7bE2_S2.final.scaffolds.fasta.nohead.fasta","AUS52.fasta","DUN-003B-Set9aC9_S33.final.scaffolds.fasta.nohead.fasta","DUN-004-Set9aC10_S34.final.scaffolds.fasta.nohead.fasta","ILPAO1.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","Pseudomonas_aeruginosa_PAO1_107.fna"
"sgbE","","L-ribulose-5-phosphate 4-epimerase SgbE","1","1","1","1","1142","1","52","","695","695","695","","","","","","","","","","","CABJIOEI_04261","","","","","","","",""
"lyx_1","","L-xylulose/3-keto-L-gulonate kinase","1","1","1","1","6687","1","670","","488","488","488","","","","","","","","","","","","","","LGGGIJGP_01272","","","","",""
"yiaO_2","","2,3-diketo-L-gulonate-binding periplasmic protein YiaO","1","1","1","1","3090","1","4995","","293","293","293","","","","","","","","","","","","","","LGGGIJGP_03886","","","","",""
"hsdM_1","","Type I restriction enzyme EcoKI M protein","1","1","1","1","1870","1","4223","","545","545","545","","","","","","","","","","","","","","LGGGIJGP_03398","","","","",""
"group_3101","","hypothetical protein","1","1","1","1","4672","1","6154","","701","701","701","","","","","","","","","","","","","","LGGGIJGP_00951","","","","",""
"group_3102","","hypothetical protein","1","1","1","1","2757","1","3764","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","596","596","596","","","","","","","","","","","","","","LGGGIJGP_00523","","","","",""
"group_3104","rlmG_1","Ribosomal RNA large subunit methyltransferase G","1","1","1","1","4621","1","587","","716","716","716","","","","","","","","","","","","","","LGGGIJGP_00675","","","","",""
"group_3106","uvrB_1","UvrABC system protein B","1","1","1","1","873","1","1039","","491","491","491","","","","","","","","","","","","","","LGGGIJGP_00117","","","","",""
"group_3108","bioB_1","Biotin synthase","1","1","1","1","6524","1","7166","","749","749","749","","","","","","","","","","","","","","LGGGIJGP_00979","","","","",""
"group_311","tycC_2","Tyrocidine synthase 3","1","1","1","1","10467","1","5022","","1052","1052","1052","","","","","","","","","","LEACNAEK_03563","","","","","","","","",""
"group_3111","","hypothetical protein","1","1","1","1","3327","1","6654","","533","533","533","","","","","","","","","","","","","","LGGGIJGP_00236","","","","",""
"group_3113","","putative oxidoreductase","1","1","1","1","4588","1","4288","","332","332","332","","","","","","","","","","","","","","LGGGIJGP_01300","","","","",""
"ydjH_1","","putative sugar kinase YdjH","1","1","1","1","5863","1","18","","278","278","278","","","","","","","","","","","CABJIOEI_04402","","","","","","","",""
"group_3117","rfaY","Lipopolysaccharide core heptose(II) kinase RfaY","1","1","1","1","3432","1","6044","","710","710","710","","","","","","","","","","","","","","LGGGIJGP_03124","","","","",""
"fdhE_1","","Protein FdhE","1","1","1","1","2345","1","7202","","731","731","731","","","","","","","","","","","","","","LGGGIJGP_03492","","","","",""
"tycC_3","","Tyrocidine synthase 3","1","1","1","1","11","1","2971","","794","794","794","","","","","","","","","","LEACNAEK_04472","","","","","","","","",""
"group_3121","dsbD_2","Thiol:disulfide interchange protein DsbD","1","1","1","1","4658","1","7449","","611","611","611","","","","","","","","","","","","","","LGGGIJGP_02019","","","","",""
"wzxC_2","","Lipopolysaccharide biosynthesis protein WzxC","1","1","1","1","4586","1","3166","","1121","1121","1121","","","","","","","","","","","","","","LGGGIJGP_01302","","","","",""
"group_3124","ygcB_2","CRISPR-associated endonuclease/helicase Cas3","1","1","1","1","1229","1","3834","","1103","1103","1103","","","","","","","","","","","","","","LGGGIJGP_01281","","","","",""
"ygcB_1","","CRISPR-associated endonuclease/helicase Cas3","1","1","1","1","1236","1","4827","","551","551","551","","","","","","","","","","","","","","LGGGIJGP_00721","","","","",""
"ygcB_2","","CRISPR-associated endonuclease/helicase Cas3","1","1","1","1","6468","1","5048","","1610","1610","1610","","","","","","","","","","","CABJIOEI_04460","","","","","","","",""
"group_3128","ugpA_1","sn-glycerol-3-phosphate transport system permease protein UgpA","1","1","1","1","3650","1","5765","","464","464","464","","","","","","","","","","","","","","LGGGIJGP_01457","","","","",""
"xylB_2","","Xylulose kinase","1","1","1","1","2186","1","7127","","821","821","821","","","","","","","","","","","","","","LGGGIJGP_00871","","","","",""
"xylB_1","","Xylulose kinase","1","1","1","1","4187","1","3583","","773","773","773","","","","","","","","","","","","","","LGGGIJGP_00608","","","","",""
"group_3131","xylB_1","Xylulose kinase","1","1","1","1","3445","1","5997","","1454","1454","1454","","","","","","","","","","","CABJIOEI_04479","","","","","","","",""
"lapB_1","","Lipopolysaccharide assembly protein B","1","1","1","1","4625","1","2240","","803","803","803","","","","","","","","","","","","","","LGGGIJGP_00671","","","","",""
"group_3133","lapB_2","Lipopolysaccharide assembly protein B","1","1","1","1","1429","1","442","","443","443","443","","","","","","","","","","","","","","LGGGIJGP_01034","","","","",""
"lapB_2","","Lipopolysaccharide assembly protein B","1","1","1","1","3449","1","1193","","1169","1169","1169","","","","","","","","","","","CABJIOEI_04487","","","","","","","",""
"group_3136","dxs_1","1-deoxy-D-xylulose-5-phosphate synthase","1","1","1","1","3252","1","3599","","764","764","764","","","","","","","","","","","","","","LGGGIJGP_02435","","","","",""
"group_3137","","hypothetical protein","1","1","1","1","2487","1","3542","","749","749","749","","","","","","","","","","","","","","LGGGIJGP_00406","","","","",""
"arcC2","","Carbamate kinase 2","1","1","1","1","2668","1","1672","","461","461","461","","","","","","","","","","","","","","LGGGIJGP_03049","","","","",""
"group_3140","arcC1_1","Carbamate kinase 1","1","1","1","1","6804","1","6657","","413","413","413","","","","","","","","","","","","","","LGGGIJGP_00231","","","","",""
"arcC2_2","","Carbamate kinase 2","1","1","1","1","4839","1","3858","","950","950","950","","","","","","","","","","","CABJIOEI_04505","","","","","","","",""
"group_3143","pepN_1","Aminopeptidase N","1","1","1","1","6346","1","3846","","521","521","521","","","","","","","","","","","","","","LGGGIJGP_01928","","","","",""
"frdA_1","","Fumarate reductase flavoprotein subunit","1","1","1","1","2569","1","2335","","575","575","575","","","","","","","","","","","","","","LGGGIJGP_00558","","","","",""
"murP_1","","PTS system N-acetylmuramic acid-specific EIIBC component","1","1","1","1","2434","1","7002","","665","665","665","","","","","","","","","","","","","","LGGGIJGP_01816","","","","",""
"group_3149","","hypothetical protein","1","1","1","1","2715","1","2368","","527","527","527","","","","","","","","","","","","","","LGGGIJGP_02818","","","","",""
"group_315","","hypothetical protein","1","1","1","1","10874","144","1","","653","653","653","","","","","","","","","","LEACNAEK_03402","","","","","","","","",""
"group_3151","yfeX_1","putative deferrochelatase/peroxidase YfeX","1","1","1","1","1317","1","2434","","410","410","410","","","","","","","","","","","","","","LGGGIJGP_01471","","","","",""
"group_3152","","hypothetical protein","1","1","1","1","6122","1","278","","704","704","704","","","","","","","","","","","","","","LGGGIJGP_00249","","","","",""
"surA_1","","Chaperone SurA","1","1","1","1","929","1","798","","269","269","269","","","","","","","","","","","","","","LGGGIJGP_02725","","","","",""
"group_3157","nepI_1","Purine ribonucleoside efflux pump NepI","1","1","1","1","2071","1","7778","","311","311","311","","","","","","","","","","","","","","LGGGIJGP_03330","","","","",""
"group_3158","ligA_1","DNA ligase","1","1","1","1","5759","1","2350","","1673","1673","1673","","","","","","","","","","","","","","LGGGIJGP_02858","","","","",""
"group_3161","","hypothetical protein","1","1","1","1","5772","1","2349","","392","392","392","","","","","","","","","","","","","","LGGGIJGP_03735","","","","",""
"lplT_2","","Lysophospholipid transporter LplT","1","1","1","1","6563","1","7346","","695","695","695","","","","","","","","","","","","","","LGGGIJGP_01388","","","","",""
"aas_2","","Bifunctional protein Aas","1","1","1","1","4110","1","6592","","1577","1577","1577","","","","","","","","","","","","","","LGGGIJGP_02682","","","","",""
"norV_2","","Anaerobic nitric oxide reductase flavorubredoxin","1","1","1","1","4684","1","6101","","755","755","755","","","","","","","","","","","","","","LGGGIJGP_02934","","","","",""
"norW_2","","Nitric oxide reductase FlRd-NAD(+) reductase","1","1","1","1","884","1","86","","770","770","770","","","","","","","","","","","","","","LGGGIJGP_01165","","","","",""
"group_317","lgrB_3","Linear gramicidin synthase subunit B","1","1","1","1","4840","1","3859","","7322","7322","7322","","","","","","","","","","","CABJIOEI_04506","","","","","","","",""
"ascG_2","","HTH-type transcriptional regulator AscG","1","1","1","1","5093","1","7558","","776","776","776","","","","","","","","","","","","","","LGGGIJGP_03441","","","","",""
"group_3172","dgt_2","Deoxyguanosinetriphosphate triphosphohydrolase","1","1","1","1","4436","1","7667","","728","728","728","","","","","","","","","","","","","","LGGGIJGP_00966","","","","",""
"group_3173","dgt_1","Deoxyguanosinetriphosphate triphosphohydrolase","1","1","1","1","4177","1","4374","","518","518","518","","","","","","","","","","","","","","LGGGIJGP_00139","","","","",""
"group_3174","dgt_1","Deoxyguanosinetriphosphate triphosphohydrolase","1","1","1","1","4527","1","363","","1517","1517","1517","","","","","","","","","","","CABJIOEI_04652","","","","","","","",""
"cdaR_2","","Carbohydrate diacid regulator","1","1","1","1","1370","1","1156","","692","692","692","","","","","","","","","","","","","","LGGGIJGP_02555","","","","",""
"group_3176","cdaR_1","Carbohydrate diacid regulator","1","1","1","1","3373","1","7084","","533","533","533","","","","","","","","","","","","","","LGGGIJGP_01058","","","","",""
"cdaR_1","","Carbohydrate diacid regulator","1","1","1","1","4525","1","365","","1157","1157","1157","","","","","","","","","","","CABJIOEI_04654","","","","","","","",""
"group_3178","","hypothetical protein","1","1","1","1","4565","1","117","","974","974","974","","","","","","","","","","","","","","LGGGIJGP_01210","","","","",""
"group_3179","","hypothetical protein","1","1","1","1","1986","1","1164","","695","695","695","","","","","","","","","","","","","","LGGGIJGP_00636","","","","",""
"group_3180","","hypothetical protein","1","1","1","1","811","1","3766","","2924","2924","2924","","","","","","","","","","","CABJIOEI_04678","","","","","","","",""
"group_3182","","hypothetical protein","1","1","1","1","3224","1","521","","557","557","557","","","","","","","","","","","","","","LGGGIJGP_01441","","","","",""
"group_3183","putA_2","Bifunctional protein PutA","1","1","1","1","1686","1","583","","767","767","767","","","","","","","","","","","","","","LGGGIJGP_00703","","","","",""
"group_3184","","hypothetical protein","1","1","1","1","4331","1","1901","","692","692","692","","","","","","","","","","","","","","LGGGIJGP_00216","","","","",""
"putA_3","","Bifunctional protein PutA","1","1","1","1","5709","1","6279","","2399","2399","2399","","","","","","","","","","","CABJIOEI_04682","","","","","","","",""
"rutA_1","","Pyrimidine monooxygenase RutA","1","1","1","1","4763","1","6282","","269","269","269","","","","","","","","","","","","","","LGGGIJGP_01174","","","","",""
"pepD_2","","Cytosol non-specific dipeptidase","1","1","1","1","6318","1","6740","","1031","1031","1031","","","","","","","","","","","","","","LGGGIJGP_01227","","","","",""
"yfcE_1","","Phosphodiesterase YfcE","1","1","1","1","2905","1","7062","","884","884","884","","","","","","","","","","","","","","LGGGIJGP_00543","","","","",""
"ghxQ_1","","Guanine/hypoxanthine permease GhxQ","1","1","1","1","6421","1","6314","","899","899","899","","","","","","","","","","","","","","LGGGIJGP_00892","","","","",""
"yehB_1","","Outer membrane usher protein YehB","1","1","1","1","3240","1","1241","","1073","1073","1073","","","","","","","","","","","","","","LGGGIJGP_01265","","","","",""
"group_3196","metG_2","Methionine--tRNA ligase","1","1","1","1","3943","1","6794","","677","677","677","","","","","","","","","","","","","","LGGGIJGP_00471","","","","",""
"group_3198","yhjE_1","Inner membrane metabolite transport protein YhjE","1","1","1","1","5235","1","7443","","428","428","428","","","","","","","","","","","","","","LGGGIJGP_00342","","","","",""
"group_3199","yhjE_2","Inner membrane metabolite transport protein YhjE","1","1","1","1","6362","1","2256","","362","362","362","","","","","","","","","","","","","","LGGGIJGP_01030","","","","",""
"group_32","glyA_4","Serine hydroxymethyltransferase","1","1","1","1","12200","1","2763","","377","377","377","","","","","","","","","","","","","","","","","","JKFCCDBN_02810",""
"group_3200","yhjE_3","Inner membrane metabolite transport protein YhjE","1","1","1","1","4786","1","4602","","1322","1322","1322","","","","","","","","","","","CABJIOEI_04729","","","","","","","",""
"yhjD_1","","Inner membrane protein YhjD","1","1","1","1","1237","1","4828","","557","557","557","","","","","","","","","","","","","","LGGGIJGP_00722","","","","",""
"group_3203","","hypothetical protein","1","1","1","1","7720","1","1360","","992","992","992","","","","","","","","","","","","","","","","BKCAIGBL_00100","","",""
"group_321","shlB_2","Hemolysin transporter protein ShlB","1","1","1","1","1787","1","7177","","542","542","542","","","","","","","","IKEEPGDJ_00031","","","","","","","","","","",""
"group_324","","hypothetical protein","1","1","1","1","4063","1","2740","","518","518","518","","","","","","","","IKEEPGDJ_00035","","","","","","","","","","",""
"group_326","","hypothetical protein","1","1","1","1","7759","1","1416","","359","359","359","","","","","","","","","","","CABJIOEI_00022","","","","","","","",""
"group_328","shlB_2","Hemolysin transporter protein ShlB","1","1","1","1","7726","1","1377","","569","569","569","","","","","","","","","","","","GNFPCNDJ_00019","","","","","","",""
"pvdA_2","","L-ornithine N(5)-monooxygenase","1","1","1","1","168","1","5354","","191","191","191","","","NMHOBMPN_05723","","","","","","","","","","","","","","","",""
"group_330","","hypothetical protein","1","1","1","1","13615","1","7489","","500","500","500","","","","","","","","","","","","","","","","","","JKFCCDBN_04986",""
"srfAA","","Surfactin synthase subunit 1","1","1","1","1","2524","1","3039","","626","626","626","","","","","","","","","","LEACNAEK_05053","","","","","","","","",""
"group_335","shlB_2","Hemolysin transporter protein ShlB","1","1","1","1","1669","1","3486","","545","545","545","","","","","","","","","","","CABJIOEI_00140","","","","","","","",""
"group_336","","hypothetical protein","1","1","1","1","4944","1","6887","","371","371","371","","","","","","","","","","","CABJIOEI_00349","","","","","","","",""
"group_337","shlB_1","Hemolysin transporter protein ShlB","1","1","1","1","9267","1","2773","","485","485","485","","","","","","","","","","LEACNAEK_04863","","","","","","","","",""
"group_338","","hypothetical protein","1","1","1","1","5295","1","7292","","371","371","371","","","","","","","","","","LEACNAEK_05347","","","","","","","","",""
"group_34","vgrG1_12","Actin cross-linking toxin VgrG1","1","1","1","1","7564","1","6901","","1586","1586","1586","","","","","DEIJMABD_06135","","","","","","","","","","","","","",""
"dhbF_1","","Dimodular nonribosomal peptide synthase","1","1","1","1","4185","1","7124","","1454","1454","1454","","","","","","","","","","","CABJIOEI_01253","","","","","","","",""
"group_348","lgrD_1","Linear gramicidin synthase subunit D","1","1","1","1","3032","1","4745","","2000","2000","2000","","","","","","","","","","","CABJIOEI_01987","","","","","","","",""
"group_35","glyA_1","Serine hydroxymethyltransferase","1","1","1","1","7701","1","1332","","575","575","575","CIGDOPNK_00001","","","","","","","","","","","","","","","","","",""
"group_350","grsB_3","Gramicidin S synthase 2","1","1","1","1","9629","1","1382","","209","209","209","","","","","","","","","","LEACNAEK_04853","","","","","","","","",""
"group_352","lgrD_5","Linear gramicidin synthase subunit D","1","1","1","1","9631","1","1380","","728","728","728","","","","","","","","","","","","","","","","","","JKFCCDBN_04191",""
"pyrG_3","","CTP synthase","1","1","1","1","8153","116","1","","2138","2138","2138","","","","","","","","","","LEACNAEK_05454","","","","","","","","",""
"group_354","dhbF_1","Dimodular nonribosomal peptide synthase","1","1","1","1","7244","1","5527","","890","890","890","","","","","","","","","","LEACNAEK_00593","","","","","","","","",""
"dhbF_5","","Dimodular nonribosomal peptide synthase","1","1","1","1","12478","1","2562","","248","248","248","","","","","","","","","","LEACNAEK_05706","","","","","","","","",""
"ompC_3","","Outer membrane protein C","1","1","1","1","4264","1","4774","","308","308","308","","","","","","","","","","","","","","LGGGIJGP_03286","","","","",""
"group_357","zntA_1","Lead, cadmium, zinc and mercury-transporting ATPase","1","1","1","1","4633","1","2293","","329","329","329","","","","","","","","","","","","","","LGGGIJGP_00663","","","","",""
"group_358","","hypothetical protein","1","1","1","1","3524","1","3610","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","353","353","353","","","","","","","","","","","","","","LGGGIJGP_04253","","","","",""
"group_360","rsmH_1","Ribosomal RNA small subunit methyltransferase H","1","1","1","1","5241","1","2492","","1142","1142","1142","","","","","","","","","","","","","","LGGGIJGP_02959","","","","",""
"group_361","cadA_1","Inducible lysine decarboxylase","1","1","1","1","3547","1","6522","","1304","1304","1304","","","","","","","","","","","","","","LGGGIJGP_01860","","","","",""
"group_362","","hypothetical protein","1","1","1","1","3301","1","3504","","761","761","761","","","","","","","","","","","","","","LGGGIJGP_00749","","","","",""
"group_364","","putative oxidoreductase","1","1","1","1","2231","1","4217","","1460","1460","1460","","","","","","","","","","","CABJIOEI_01923","","","","","","","",""
"group_365","","hypothetical protein","1","1","1","1","6579","1","2493","","1286","1286","1286","","","","","","","","","","","","","","LGGGIJGP_02962","","","","",""
"araE","","Arabinose-proton symporter","1","1","1","1","4740","1","6466","","614","614","614","","","","","","","","","","","","","","LGGGIJGP_01142","","","","",""
"group_369","ompC_1","Outer membrane protein C","1","1","1","1","6095","1","3255","","644","644","644","","","","","","","","","","","CABJIOEI_00134","","","","","","","",""
"group_37","","hypothetical protein","1","1","1","1","8771","1","5320","","221","221","221","","","","","","","","","","LEACNAEK_03083","","","","","","","","",""
"group_370","","hypothetical protein","1","1","1","1","4848","1","6070","","182","182","182","","","","","","","","","","","CABJIOEI_01190","","","","","","","",""
"cstA_2","","Carbon starvation protein A","1","1","1","1","3193","1","2479","","590","590","590","","","","","","","","","","","CABJIOEI_00585","","","","","","","",""
"group_372","ybhF_1","putative ABC transporter ATP-binding protein YbhF","1","1","1","1","4846","1","4658","","464","464","464","","","","","","","","","","","CABJIOEI_01082","","","","","","","",""
"group_373","araE","Arabinose-proton symporter","1","1","1","1","5282","1","6328","","1409","1409","1409","","","","","","","","","","","CABJIOEI_02234","","","","","","","",""
"dinB1","","DNA polymerase IV 1","1","1","1","1","6605","1","4446","","677","677","677","","","","","","","","","","","CABJIOEI_01148","","","","","","","",""
"torR","","TorCAD operon transcriptional regulatory protein TorR","1","1","1","1","3613","1","5871","","479","479","479","","","","","","","","","","","CABJIOEI_04193","","","","","","","",""
"comEA_1","","ComE operon protein 1","1","1","1","1","2885","1","6538","","1112","1112","1112","","","","","","","","","","","CABJIOEI_00783","","","","","","","",""
"rsmH_1","","Ribosomal RNA small subunit methyltransferase H","1","1","1","1","2415","1","7553","","791","791","791","","","","","","","","","","","CABJIOEI_00827","","","","","","","",""
"group_378","gshB_2","Glutathione synthetase","1","1","1","1","6725","1","7220","","521","521","521","","","","","","","","","","","CABJIOEI_01685","","","","","","","",""
"group_382","puuA_1","Gamma-glutamylputrescine synthetase PuuA","1","1","1","1","7043","1","6971","","650","650","650","","","","","","","","","","","","","","","","","","JKFCCDBN_00331",""
"group_383","puuA_8","Gamma-glutamylputrescine synthetase PuuA","1","1","1","1","12203","1","2696","","377","377","377","","","","","","","","","","","","","","","","","","JKFCCDBN_04748",""
"group_384","puuA_6","Gamma-glutamylputrescine synthetase PuuA","1","1","1","1","8622","1","3121","","1274","1274","1274","","","","","","","","","","LEACNAEK_02923","","","","","","","","",""
"puuA_8","","Gamma-glutamylputrescine synthetase PuuA","1","1","1","1","8796","1","5359","","227","227","227","","","","","","","","","","LEACNAEK_03835","","","","","","","","",""
"puuA_5","","Gamma-glutamylputrescine synthetase PuuA","1","1","1","1","12194","1","5333","","428","428","428","","","","","","","","","","LEACNAEK_02430","","","","","","","","",""
"group_389","","hypothetical protein","1","1","1","1","8620","1","3124","","356","356","356","","","","","","","","","","","","","","","","","","JKFCCDBN_01246",""
"group_391","","hypothetical protein","1","1","1","1","2518","1","4144","","329","329","329","","","","","","","","","","","","GNFPCNDJ_00022","","","","","","",""
"group_393","","hypothetical protein","1","1","1","1","7240","1","390","","1280","1280","1280","","BNMDDFNN_05356","","","","","","","","","","","","","","","","",""
"group_3946","","hypothetical protein","1","1","1","1","9322","1","1346","","92","92","92","","","","","","","","","","","","","","","","","","JKFCCDBN_00675",""
"group_395","","hypothetical protein","1","1","1","1","5201","1","4777","","383","383","383","","","","","","","","","","","","","","LGGGIJGP_00285","","","","",""
"group_396","","hypothetical protein","1","1","1","1","1379","1","6665","","749","749","749","","","","","","","","","","","","","","LGGGIJGP_00041","","","","",""
"patA_2","","Putrescine aminotransferase","1","1","1","1","3167","1","7460","","1109","1109","1109","","","","","","","","","","","CABJIOEI_00928","","","","","","","",""
"group_40","glyA_1","Serine hydroxymethyltransferase","1","1","1","1","7694","1","1372","","284","284","284","","","","","","","","","GDNBNODK_00004","","","","","","","","","",""
"group_4013","","hypothetical protein","1","1","1","1","4","367","2","","215","215","215","","","","LGHNJHKC_00135","","","","","","","","","","","","","","",""
"group_4014","","hypothetical protein","1","1","1","1","5402","1","4028","","743","743","743","","","","LGHNJHKC_00234","","","","","","","","","","","","","","",""
"group_4015","","hypothetical protein","1","1","1","1","5429","1","4055","","788","788","788","","","","LGHNJHKC_00261","","","","","","","","","","","","","","",""
"group_4016","","hypothetical protein","1","1","1","1","10077","355","16","","2993","2993","2993","","","","LGHNJHKC_01244","","","","","","","","","","","","","","",""
"rarA_1","","Replication-associated recombination protein A","1","1","1","1","997","1","6406","","842","842","842","","","","","","","","","","","","","","LGGGIJGP_01339","","","","",""
"group_4020","","hypothetical protein","1","1","1","1","10966","358","6","","791","791","791","","","","LGHNJHKC_03867","","","","","","","","","","","","","","",""
"group_4021","","hypothetical protein","1","1","1","1","10968","358","8","","791","791","791","","","","LGHNJHKC_03869","","","","","","","","","","","","","","",""
"group_4024","","hypothetical protein","1","1","1","1","517","1","5117","","122","122","122","","","","","DEIJMABD_03422","","","","","","","","","","","","","",""
"group_4025","","hypothetical protein","1","1","1","1","518","1","5116","","122","122","122","","","","","DEIJMABD_03423","","","","","","","","","","","","","",""
"group_4031","","hypothetical protein","1","1","1","1","10511","33","9","","284","284","284","","","","","DEIJMABD_05700","","","","","","","","","","","","","",""
"group_4032","","hypothetical protein","1","1","1","1","10513","33","7","","734","734","734","","","","","DEIJMABD_05702","","","","","","","","","","","","","",""
"group_404","mgtA_2","Magnesium-transporting ATPase, P-type 1","1","1","1","1","3830","1","4471","","1994","1994","1994","","","","","","","","","","","CABJIOEI_03959","","","","","","","",""
"group_405","kdgR_2","Transcriptional regulator KdgR","1","1","1","1","6180","1","197","","758","758","758","","","","","","","","","","","CABJIOEI_04181","","","","","","","",""
"group_406","patA_1","Putrescine aminotransferase","1","1","1","1","3980","1","3640","","341","341","341","","","","","","","","","","","","","","LGGGIJGP_00177","","","","",""
"group_407","rocC_1","Amino-acid permease RocC","1","1","1","1","1094","1","4592","","410","410","410","","","","","","","","","","","","","","LGGGIJGP_02907","","","","",""
"pgaD","","Biofilm PGA synthesis protein PgaD","1","1","1","1","1095","1","4591","","392","392","392","","","","","","","","","","","","","","LGGGIJGP_02908","","","","",""
"group_409","","putative ABC transporter ATP-binding protein","1","1","1","1","1721","1","4314","","1097","1097","1097","","","","","","","","","","","","","","LGGGIJGP_02286","","","","",""
"group_41","aroH_3","Phospho-2-dehydro-3-deoxyheptonate aldolase","1","1","1","1","7703","1","1368","","602","602","602","","","","","","","","","","","","","","","BGKEFAEA_05512","","","",""
"group_410","thrC_1","Threonine synthase","1","1","1","1","2572","1","623","","1673","1673","1673","","","","","","","","","","","","","","LGGGIJGP_01200","","","","",""
"group_412","zot_1","Zona occludens toxin","1","1","1","1","7238","1","394","","1274","1274","1274","","","","","","","","","GDNBNODK_00361","","","","","","","","","",""
"group_413","zot_2","Zona occludens toxin","1","1","1","1","7237","1","395","","1274","1274","1274","","","","","","","","IKEEPGDJ_03243","","","","","","","","","","",""
"group_417","zot_1","Zona occludens toxin","1","1","1","1","11002","1","2767","","1274","1274","1274","","","","","","","","","","","","GNFPCNDJ_02721","","","","","","",""
"group_418","zot_1","Zona occludens toxin","1","1","1","1","11273","1","2769","","1274","1274","1274","","","","","","","","","","","","","","LGGGIJGP_07269","","","","",""
"group_42","tuf1_1","Elongation factor Tu","1","1","1","1","7717","1","1355","","581","581","581","","","","","","","","","","","CABJIOEI_00004","","","","","","","",""
"group_420","","hypothetical protein","1","1","1","1","7224","1","391","","1856","1856","1856","","","","","","","","","","","","","","","","","","JKFCCDBN_04641",""
"group_421","zot_2","Zona occludens toxin","1","1","1","1","7250","1","370","","1274","1274","1274","","BNMDDFNN_05358","","","","","","","","","","","","","","","","",""
"group_423","zot_1","Zona occludens toxin","1","1","1","1","7001","1","2606","","647","647","647","","","","","","","","","","","","","","","","","","JKFCCDBN_00276",""
"zot_3","","Zona occludens toxin","1","1","1","1","9265","75","1","","359","359","359","","","","","","","","","","","","","","","","","","JKFCCDBN_04624",""
"group_428","betC_1","Choline-sulfatase","1","1","1","1","1469","1","1598","","1175","1175","1175","","","","","","","","","","","","","","LGGGIJGP_04485","","","","",""
"yojI_1","","ABC transporter ATP-binding/permease protein YojI","1","1","1","1","1157","1","3327","","1601","1601","1601","","","","","","","","","","","","","","LGGGIJGP_04399","","","","",""
"gatC_4","","PTS system galactitol-specific EIIC component","1","1","1","1","1296","1","6037","","377","377","377","","","","","","","","","","","","","","LGGGIJGP_03122","","","","",""
"caiC_2","","putative crotonobetaine/carnitine-CoA ligase","1","1","1","1","5089","1","7562","","677","677","677","","","","","","","","","","","CABJIOEI_02224","","","","","","","",""
"ompT_1","","Protease 7","1","1","1","1","2703","1","152","","626","626","626","","","","","","","","","","","CABJIOEI_03116","","","","","","","",""
"sdaB_1","","L-serine dehydratase 2","1","1","1","1","3248","1","3595","","401","401","401","","","","","","","","","","","CABJIOEI_01014","","","","","","","",""
"group_436","yojI_1","ABC transporter ATP-binding/permease protein YojI","1","1","1","1","2774","1","4440","","1124","1124","1124","","","","","","","","","","","CABJIOEI_01154","","","","","","","",""
"group_437","","hypothetical protein","1","1","1","1","1718","1","1576","","278","278","278","","","","","","","","","","","CABJIOEI_01299","","","","","","","",""
"group_440","lppC_1","Putative lipoprotein LppC","1","1","1","1","5251","1","4616","","551","551","551","","","","","","","","","","","CABJIOEI_01590","","","","","","","",""
"group_442","hcaT_2","putative 3-phenylpropionic acid transporter","1","1","1","1","6240","1","7218","","527","527","527","","","","","","","","","","","","","","LGGGIJGP_04307","","","","",""
"lppC_2","","Putative lipoprotein LppC","1","1","1","1","1543","1","4464","","599","599","599","","","","","","","","","","","","","","LGGGIJGP_01694","","","","",""
"group_444","gspD_1","Putative type II secretion system protein D","1","1","1","1","1481","1","3573","","563","563","563","","","","","","","","","","","","","","LGGGIJGP_00311","","","","",""
"group_445","","hypothetical protein","1","1","1","1","4143","1","7359","","605","605","605","","","","","","","","","","","","","","LGGGIJGP_02034","","","","",""
"group_447","","hypothetical protein","1","1","1","1","7735","1","1391","","137","137","137","","","","","","","","","","","CABJIOEI_00014","","","","","","","",""
"group_45","tuf1_3","Elongation factor Tu","1","1","1","1","8785","1","4160","","872","872","872","","","","","","","","","","","","","AELPJDKL_00028","","","","","",""
